,Cluster
OoCyte_1,One
OoCyte_2,One
OoCyte_3,One
Zygote_1,Two
Zygote_2,Two
Zygote_3,Two
X2_Cell_embryo_1_Cell_1,Three
X2_Cell_embryo_1_Cell_2,Three
X2_Cell_embryo_2_Cell_1,Three
X2_Cell_embryo_2_Cell_2,Three
X2_Cell_embryo_3_Cell_1,Three
X2_Cell_embryo_3_Cell_2,Three
X4_Cell_embryo_1_Cell_1,Four
X4_Cell_embryo_1_Cell_2,Four
X4_Cell_embryo_1_Cell_3,Four
X4_Cell_embryo_1_Cell_4,Four
X4_Cell_embryo_2_Cell_1,Four
X4_Cell_embryo_2_Cell_2,Four
X4_Cell_embryo_2_Cell_3,Four
X4_Cell_embryo_2_Cell_4,Four
X4_Cell_embryo_3_Cell_1,Four
X4_Cell_embryo_3_Cell_2,Four
X4_Cell_embryo_3_Cell_3,Four
X4_Cell_embryo_3_Cell_4,Four
X8_Cell_embryo_1_Cell_1,Five
X8_Cell_embryo_1_Cell_2,Five
X8_Cell_embryo_1_Cell_3,Five
X8_Cell_embryo_1_Cell_4,Five
X8_Cell_embryo_2_Cell_1,Five
X8_Cell_embryo_2_Cell_2,Five
X8_Cell_embryo_2_Cell_3,Five
X8_Cell_embryo_2_Cell_4,Five
X8_Cell_embryo_2_Cell_5,Five
X8_Cell_embryo_2_Cell_6,Five
X8_Cell_embryo_2_Cell_7,Five
X8_Cell_embryo_2_Cell_8,Five
X8_Cell_embryo_3_Cell_1,Five
X8_Cell_embryo_3_Cell_2,Five
X8_Cell_embryo_3_Cell_3,Five
X8_Cell_embryo_3_Cell_4,Five
X8_Cell_embryo_3_Cell_5,Five
X8_Cell_embryo_3_Cell_6,Five
X8_Cell_embryo_3_Cell_7,Five
X8_Cell_embryo_3_Cell_8,Five
Morulae_1_Cell_1,Six
Morulae_1_Cell_2,Six
Morulae_1_Cell_3,Six
Morulae_1_Cell_4,Six
Morulae_1_Cell_5,Six
Morulae_1_Cell_6,Six
Morulae_1_Cell_7,Six
Morulae_1_Cell_8,Six
Morulae_2_Cell_1,Six
Morulae_2_Cell_2,Six
Morulae_2_Cell_3,Six
Morulae_2_Cell_4,Six
Morulae_2_Cell_5,Six
Morulae_2_Cell_6,Six
Morulae_2_Cell_7,Six
Morulae_2_Cell_8,Six
Late_blastoCyst_1_Cell_1,Seven
Late_blastoCyst_1_Cell_2,Seven
Late_blastoCyst_1_Cell_3,Seven
Late_blastoCyst_1_Cell_4,Seven
Late_blastoCyst_1_Cell_5,Seven
Late_blastoCyst_1_Cell_6,Seven
Late_blastoCyst_1_Cell_7,Seven
Late_blastoCyst_1_Cell_8,Seven
Late_blastoCyst_1_Cell_9,Seven
Late_blastoCyst_1_Cell_10,Seven
Late_blastoCyst_1_Cell_11,Seven
Late_blastoCyst_1_Cell_12,Seven
Late_blastoCyst_2_Cell_1,Seven
Late_blastoCyst_2_Cell_2,Seven
Late_blastoCyst_2_Cell_3,Seven
Late_blastoCyst_2_Cell_4,Seven
Late_blastoCyst_2_Cell_5,Seven
Late_blastoCyst_2_Cell_6,Seven
Late_blastoCyst_2_Cell_7,Seven
Late_blastoCyst_2_Cell_8,Seven
Late_blastoCyst_2_Cell_9,Seven
Late_blastoCyst_2_Cell_10,Seven
Late_blastoCyst_3_Cell_1,Seven
Late_blastoCyst_3_Cell_2,Seven
Late_blastoCyst_3_Cell_3,Seven
Late_blastoCyst_3_Cell_4,Seven
Late_blastoCyst_3_Cell_5,Seven
Late_blastoCyst_3_Cell_6,Seven
Late_blastoCyst_3_Cell_7,Seven
Late_blastoCyst_3_Cell_8,Seven
