"","OoCyte_1","OoCyte_2","OoCyte_3","Zygote_1","Zygote_2","Zygote_3","X2_Cell_embryo_1_Cell_1","X2_Cell_embryo_1_Cell_2","X2_Cell_embryo_2_Cell_1","X2_Cell_embryo_2_Cell_2","X2_Cell_embryo_3_Cell_1","X2_Cell_embryo_3_Cell_2","X4_Cell_embryo_1_Cell_1","X4_Cell_embryo_1_Cell_2","X4_Cell_embryo_1_Cell_3","X4_Cell_embryo_1_Cell_4","X4_Cell_embryo_2_Cell_1","X4_Cell_embryo_2_Cell_2","X4_Cell_embryo_2_Cell_3","X4_Cell_embryo_2_Cell_4","X4_Cell_embryo_3_Cell_1","X4_Cell_embryo_3_Cell_2","X4_Cell_embryo_3_Cell_3","X4_Cell_embryo_3_Cell_4","X8_Cell_embryo_1_Cell_1","X8_Cell_embryo_1_Cell_2","X8_Cell_embryo_1_Cell_3","X8_Cell_embryo_1_Cell_4","X8_Cell_embryo_2_Cell_1","X8_Cell_embryo_2_Cell_2","X8_Cell_embryo_2_Cell_3","X8_Cell_embryo_2_Cell_4","X8_Cell_embryo_2_Cell_5","X8_Cell_embryo_2_Cell_6","X8_Cell_embryo_2_Cell_7","X8_Cell_embryo_2_Cell_8","X8_Cell_embryo_3_Cell_1","X8_Cell_embryo_3_Cell_2","X8_Cell_embryo_3_Cell_3","X8_Cell_embryo_3_Cell_4","X8_Cell_embryo_3_Cell_5","X8_Cell_embryo_3_Cell_6","X8_Cell_embryo_3_Cell_7","X8_Cell_embryo_3_Cell_8","Morulae_1_Cell_1","Morulae_1_Cell_2","Morulae_1_Cell_3","Morulae_1_Cell_4","Morulae_1_Cell_5","Morulae_1_Cell_6","Morulae_1_Cell_7","Morulae_1_Cell_8","Morulae_2_Cell_1","Morulae_2_Cell_2","Morulae_2_Cell_3","Morulae_2_Cell_4","Morulae_2_Cell_5","Morulae_2_Cell_6","Morulae_2_Cell_7","Morulae_2_Cell_8","Late_blastoCyst_1_Cell_1","Late_blastoCyst_1_Cell_2","Late_blastoCyst_1_Cell_3","Late_blastoCyst_1_Cell_4","Late_blastoCyst_1_Cell_5","Late_blastoCyst_1_Cell_6","Late_blastoCyst_1_Cell_7","Late_blastoCyst_1_Cell_8","Late_blastoCyst_1_Cell_9","Late_blastoCyst_1_Cell_10","Late_blastoCyst_1_Cell_11","Late_blastoCyst_1_Cell_12","Late_blastoCyst_2_Cell_1","Late_blastoCyst_2_Cell_2","Late_blastoCyst_2_Cell_3","Late_blastoCyst_2_Cell_4","Late_blastoCyst_2_Cell_5","Late_blastoCyst_2_Cell_6","Late_blastoCyst_2_Cell_7","Late_blastoCyst_2_Cell_8","Late_blastoCyst_2_Cell_9","Late_blastoCyst_2_Cell_10","Late_blastoCyst_3_Cell_1","Late_blastoCyst_3_Cell_2","Late_blastoCyst_3_Cell_3","Late_blastoCyst_3_Cell_4","Late_blastoCyst_3_Cell_5","Late_blastoCyst_3_Cell_6","Late_blastoCyst_3_Cell_7","Late_blastoCyst_3_Cell_8"
"CREB3L1",1,1.424,1.946,1.805,1.435,0.731,1.591,1.264,1.885,1.449,0.703,0.494,0,4.724,0,0,0.257,0.745,1.567,2.778,3.058,2.522,4.284,5.014,0.466,2.809,1.927,2.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.764,0,0,0,0.746,0,0,0,0,0,0,0,0,0,0.379,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705,5.464,1.957,0,0,0,0,0,0,0,0,0,0,0,15.006,0,0,14.989
"GPR98",0.295,0.546,0.603,0.372,0.582,0.709,0.208,0.273,0.486,0.387,0.497,0.339,2.79,0.814,0.143,0.667,0.821,0.78,0.234,0.888,0.358,0.796,0.473,0.46,0.518,0.19,0.716,0.719,0.867,0.671,1.434,0,0,0.104,0,0.371,1.835,0.269,0.274,1.678,0.257,0.935,0.587,0.762,0.411,0.492,0.654,0,0,0,0.561,0,0,0.24,0,0.415,0,0.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RTN1",1.572,2.267,2.245,0.923,0.796,0.331,1.702,1.683,0.918,0.74,0.356,0.432,3.724,0,0,0,0.293,0,1.029,2.621,1.895,0.798,0.691,1.648,0,0,0,0,0,0,4.872,0,0,0.146,0.717,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KBTBD8",0.639,1.1,0.658,5.828,4.16,5.546,3.73,4.012,3.853,3.977,3.704,3.513,5.126,3.259,3.734,1.981,1.009,2.144,3.472,2.699,3.875,3.734,1.51,3.504,0.93,17.457,8.268,7.023,6.21,5.008,0.413,6.033,10.329,6.843,12.011,13.517,4.427,1.613,0.603,5.188,2.253,0.158,3.33,0,2.092,0,0,1.633,2.044,0,1.227,1.152,0.302,0.117,0,0.706,0,0.662,0.492,3.067,0,0,0.417,0.887,0,0.557,0,0.537,0,0.106,0,0.208,2.496,0.307,0.408,0,0,3.894,0.454,2.306,7.72,0.521,0,1.896,0.407,0,0.131,1.387,0,0
"ZEB1",2.556,3.367,3.112,4.071,3.208,4.142,3.353,3.133,2.317,2.778,3.679,4.481,1.015,16.389,6.831,8.416,14.523,13.138,12.745,6.96,9.315,12.87,10.217,5.949,5.234,5.203,1.426,0.101,0.107,1.436,2.504,1.482,3.729,0.264,0.83,1.204,0,0.768,1.662,0,0,0,5.521,3.78,6.119,0,29.017,0,0.29,0,2.933,0.299,0.843,2.177,2.835,0,0.422,0,0,2.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BANK1",2.968,2.803,2.526,2.503,2.433,3.168,0.83,1.251,1.516,1.81,1.56,1.404,7.739,1.269,10.206,0,3.118,3.123,3.998,3.701,3.749,9.753,3.532,7.045,6.559,8.567,3.521,4.712,0,0,0,2.787,0,2.646,1.166,0.515,6.86,0,0,0,1.432,9.313,0,2.256,0,0,35.517,1.865,0,0,3.04,0.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIR",0.843,0.191,0.138,0,0.913,0,0.529,0.465,0,0.623,0.233,0,0,0,0.121,0,3.202,0,0,0,0,2.553,1.427,0,0,0,0.28,1.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.635,11.153,14.53,33.209,0.323,2.343,36.45,22.489,0,26.336,31.356,16.859,9.213,3.124,0.153,9.159,57.179,124.468,69.737,5.144,1.034,0.48,134.014,20.742,8.465,53.489,1.917,106.667,46.256,94.033
"SORL1",1.492,1.451,0.901,0.832,0.665,0.619,0.313,0.461,0.391,0.287,0.296,0.292,1.707,0,0.848,1.103,0.473,1.794,0.895,0.109,0.67,0.871,0.471,0.279,1.454,0.35,0,1.813,0,0,0.63,0,0,0,0,0,0,0,0.878,0.291,0,0,0,0,2.029,0,0,0,0,0,0,1.073,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005,1.537,0.363,2.164,0,0,4.609,0,0,5.49,0.105,0,0,0,0,0,0,0,0.844,2.553
"TMEM180",0,0,0.107,0,0,0,0,0.115,0,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,11.97,2.201,2.223,4.281,1.657,0.967,4.723,0.761,0.733,0.206,0.81,1.77,0,0,12.431,0,3.187,0,3.582,16.888,2.478,2.434,0.165,14.871,5.257,20.923,14.419,16.37,1.998,4.665,7.803,0,0.215,2.735,10.772,6.051,0,14.021,2.771,0,10.043,8.882,0.918,0,0.203,0.851,0,0,0,2.678,0,0,0,0,0,2.751,0,2.564,0,4.727,1.206
