"","OoCyte_1","OoCyte_2","OoCyte_3","Zygote_1","Zygote_2","Zygote_3","X2_Cell_embryo_1_Cell_1","X2_Cell_embryo_1_Cell_2","X2_Cell_embryo_2_Cell_1","X2_Cell_embryo_2_Cell_2","X2_Cell_embryo_3_Cell_1","X2_Cell_embryo_3_Cell_2","X4_Cell_embryo_1_Cell_1","X4_Cell_embryo_1_Cell_2","X4_Cell_embryo_1_Cell_3","X4_Cell_embryo_1_Cell_4","X4_Cell_embryo_2_Cell_1","X4_Cell_embryo_2_Cell_2","X4_Cell_embryo_2_Cell_3","X4_Cell_embryo_2_Cell_4","X4_Cell_embryo_3_Cell_1","X4_Cell_embryo_3_Cell_2","X4_Cell_embryo_3_Cell_3","X4_Cell_embryo_3_Cell_4","X8_Cell_embryo_1_Cell_1","X8_Cell_embryo_1_Cell_2","X8_Cell_embryo_1_Cell_3","X8_Cell_embryo_1_Cell_4","X8_Cell_embryo_2_Cell_1","X8_Cell_embryo_2_Cell_2","X8_Cell_embryo_2_Cell_3","X8_Cell_embryo_2_Cell_4","X8_Cell_embryo_2_Cell_5","X8_Cell_embryo_2_Cell_6","X8_Cell_embryo_2_Cell_7","X8_Cell_embryo_2_Cell_8","X8_Cell_embryo_3_Cell_1","X8_Cell_embryo_3_Cell_2","X8_Cell_embryo_3_Cell_3","X8_Cell_embryo_3_Cell_4","X8_Cell_embryo_3_Cell_5","X8_Cell_embryo_3_Cell_6","X8_Cell_embryo_3_Cell_7","X8_Cell_embryo_3_Cell_8","Morulae_1_Cell_1","Morulae_1_Cell_2","Morulae_1_Cell_3","Morulae_1_Cell_4","Morulae_1_Cell_5","Morulae_1_Cell_6","Morulae_1_Cell_7","Morulae_1_Cell_8","Morulae_2_Cell_1","Morulae_2_Cell_2","Morulae_2_Cell_3","Morulae_2_Cell_4","Morulae_2_Cell_5","Morulae_2_Cell_6","Morulae_2_Cell_7","Morulae_2_Cell_8","Late_blastoCyst_1_Cell_1","Late_blastoCyst_1_Cell_2","Late_blastoCyst_1_Cell_3","Late_blastoCyst_1_Cell_4","Late_blastoCyst_1_Cell_5","Late_blastoCyst_1_Cell_6","Late_blastoCyst_1_Cell_7","Late_blastoCyst_1_Cell_8","Late_blastoCyst_1_Cell_9","Late_blastoCyst_1_Cell_10","Late_blastoCyst_1_Cell_11","Late_blastoCyst_1_Cell_12","Late_blastoCyst_2_Cell_1","Late_blastoCyst_2_Cell_2","Late_blastoCyst_2_Cell_3","Late_blastoCyst_2_Cell_4","Late_blastoCyst_2_Cell_5","Late_blastoCyst_2_Cell_6","Late_blastoCyst_2_Cell_7","Late_blastoCyst_2_Cell_8","Late_blastoCyst_2_Cell_9","Late_blastoCyst_2_Cell_10","Late_blastoCyst_3_Cell_1","Late_blastoCyst_3_Cell_2","Late_blastoCyst_3_Cell_3","Late_blastoCyst_3_Cell_4","Late_blastoCyst_3_Cell_5","Late_blastoCyst_3_Cell_6","Late_blastoCyst_3_Cell_7","Late_blastoCyst_3_Cell_8"
"CREB3L1",953,1249,1414,1169,790,527,1613,1366,1744,1480,707,593,0,5877,0,0,279,772,1413,3385,3335,2974,3614,6129,274,1519,787,1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6612,0,0,0,510,0,0,0,0,0,0,0,0,0,280,198,0,0,0,0,0,0,0,0,0,0,0,0,0,313,3337,855,0,0,0,0,0,0,0,0,0,0,0,11797,0,0,16569
"GPR98",3889,6625,6059,3332,4434,7063,2916,4079,6220,5468,6916,5626,51591,14006,2722,7718,12340,11176,2918,14963,5400,12982,5519,7777,4216,1421,4043,7133,6546,5897,9533,0,0,892,0,2138,26885,3699,3417,28858,3890,16101,7158,12089,3667,3045,1507,0,0,0,2669,0,0,2929,0,4655,0,3838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RTN1",9423,12507,10256,3759,2757,1499,10850,11434,5341,4754,2252,3259,31308,0,0,0,2002,0,5835,20079,12997,5917,3666,12667,0,0,0,0,0,0,14726,0,0,569,1616,0,0,0,0,0,0,0,0,5338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KBTBD8",180,285,141,1113,675,1178,1115,1278,1051,1198,1099,1243,2020,1195,1515,489,323,655,923,969,1246,1298,376,1263,161,2783,995,1485,999,938,59,1230,1934,1251,1269,1660,1383,473,160,1902,727,58,866,0,398,0,0,329,335,0,124,64,75,30,0,169,0,144,75,704,0,0,94,199,0,77,0,91,0,19,0,25,327,55,53,0,0,1091,83,288,1915,171,0,515,116,0,30,340,0,0
"ZEB1",11760,14258,10912,12724,8528,14400,16406,16338,10348,13699,17865,25951,6550,98411,45384,33983,76176,65691,55470,40926,49037,73249,41604,35097,14867,13579,2810,350,282,4404,5809,4947,11432,790,1436,2421,0,3686,7233,0,0,0,23496,20928,19054,0,23326,0,778,0,4869,270,3416,9272,7472,0,1422,0,0,8231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BANK1",18373,15971,11918,10526,8703,14819,5464,8777,9110,12009,10193,10940,67194,10253,91234,0,22005,21010,23412,29282,26555,74687,19352,55923,25068,30084,9335,21950,0,0,0,12518,0,10653,2715,1393,47193,0,0,0,10178,75304,0,16806,0,0,38416,8284,0,0,6791,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIR",379,79,47,0,237,0,253,237,0,300,110,0,0,0,78,0,1639,0,0,0,0,1418,567,0,0,0,54,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27001,2646,5229,11897,126,520,12113,6099,0,7688,6900,3216,1927,899,31,3341,19050,55733,20319,1025,410,252,40656,8995,3864,22416,710,41818,24796,48961
"KIAA1199",0,635,0,805,245,561,439,0,757,511,1073,756,0,0,0,1900,0,1366,1562,5092,1339,1462,0,0,0,681,0,0,0,0,0,0,1332,0,0,0,0,0,0,2100,0,0,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SORL1",5898,5279,2714,2234,1519,1849,1316,2065,1500,1216,1235,1453,9464,0,4841,3827,2132,7707,3347,551,3030,4259,1648,1414,3549,785,0,5393,0,0,1256,0,0,0,0,0,0,0,3283,1501,0,0,0,0,5428,0,0,0,0,0,0,833,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,2581,668,5481,0,0,13518,0,0,9633,366,0,0,0,0,0,0,0,3983,11703
