"gene_name","length_kbp"
"A1BG",8.321
"A1CF",86.266
"A2M",48.565
"A2ML1",64.529
"A4GALT",29.177
"A4GNT",8.669
"AAAS",17.408
"AACS",77.954
"AADAC",14.451
"AADACL3",12.644
"AADACL4",22.539
"AADAT",31.477
"AAGAB",54.162
"AAK1",216.354
"AAMP",6.134
"AANAT",16.766
"AARS",37.248
"AARS2",13.672
"AARSD1",13.972
"AASDH",49.221
"AASDHPPT",23.209
"AASS",68.633
"AATF",107.996
"AATK",48.782
"ABAT",110.01
"ABCA1",147.235
"ABCA10",97.632
"ABCA11P",48.694
"ABCA12",206.886
"ABCA13",476.038
"ABCA17P",87.549
"ABCA2",21.695
"ABCA3",64.865
"ABCA4",128.297
"ABCA5",82.933
"ABCA6",63.186
"ABCA7",25.471
"ABCA8",88.1
"ABCA9",86.576
"ABCB1",209.69
"ABCB10",42.113
"ABCB11",108.384
"ABCB4",78.738
"ABCB5",161.831
"ABCB6",9.222
"ABCB7",103.56
"ABCB8",19.36
"ABCB9",60.698
"ABCC1",193.497
"ABCC10",23.064
"ABCC11",80.658
"ABCC12",73.045
"ABCC13",126.548
"ABCC2",69.46
"ABCC3",57.475
"ABCC4",281.604
"ABCC5",98.081
"ABCC6",74.594
"ABCC6P1",27.166
"ABCC6P2",3.91
"ABCC8",83.96
"ABCC9",144.001
"ABCD1",19.894
"ABCD3",100.211
"ABCD4",17.633
"ABCE1",31.247
"ABCF1",25.803
"ABCF2",19.393
"ABCF3",7.989
"ABCG1",97.555
"ABCG2",141.058
"ABCG4",13.641
"ABCG5",26.393
"ABCG8",39.502
"ABHD1",7.023
"ABHD10",14.353
"ABHD11",2.773
"ABHD12",96.24
"ABHD12B",32.81
"ABHD13",15.876
"ABHD14A",9.773
"ABHD14B",14.899
"ABHD15",6.59
"ABHD2",114.901
"ABHD3",53.908
"ABHD4",14.978
"ABHD5",44.258
"ABHD6",58.187
"ABHD8",18.105
"ABI1",114.494
"ABI2",119.504
"ABI3",12.998
"ABI3BP",244.359
"ABL1",173.729
"ABL2",130.357
"ABLIM1",253.89
"ABLIM2",193.522
"ABLIM3",119.059
"ABO",24.813
"ABR",225.503
"ABRA",10.762
"ABT1",3.792
"ABTB1",7.985
"ABTB2",207.02
"ACAA1",34.113
"ACAA2",31.793
"ACACA",321.83
"ACACB",151.631
"ACAD10",71.051
"ACAD11",102.585
"ACAD8",12.36
"ACAD9",36.577
"ACADL",37.552
"ACADM",63.228
"ACADS",14.273
"ACADSB",49.332
"ACADVL",8.148
"ACAN",71.911
"ACAP1",14.949
"ACAP2",168.342
"ACAP3",17.233
"ACAT1",26.26
"ACAT2",18.727
"ACBD3",42.051
"ACBD4",11.581
"ACBD5",46.916
"ACBD7",11.253
"ACCS",18.297
"ACCSL",11.996
"ACD",3.303
"ACE",29.175
"ACE2",41.115
"ACER1",27.487
"ACER2",42.961
"ACER3",165.93
"ACHE",6.98
"ACIN1",37.05
"ACLY",63.634
"ACMSD",63.487
"ACN9",65.173
"ACO1",70.166
"ACO2",59.864
"ACOT1",6.68
"ACOT11",96.935
"ACOT12",64.174
"ACOT13",38.03
"ACOT2",8.038
"ACOT4",4.79
"ACOT6",8.943
"ACOT7",130.122
"ACOT8",15.685
"ACOT9",64.222
